Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
0	68	0.5	0.5	3955	4148	39.4314	43.8039		0	2078.99	0.0879812	0.543991
0	69	0.5	0.5	4323	3741	42.1961	41.0392		0	2077.74	0.0568675	0.528434
0	70	0.5	0.5	4058	4050	41.7059	40.9412		0	2066.87	0.0589333	0.529467
0	71	0.5	0.5	4354	3777	46.451	36.902		0	2068.42	0.0411226	0.520561
0	72	0.5	0.5	3930	4132	40.0392	42.5294		0	2060.98	0.0462706	0.523135
0	73	0.5	0.5	3907	4183	40.1961	42.9216		0	2076.5	0.044331	0.522166
0	74	0.5	0.5	4207	3955	43.2941	40.5686		0	2094.73	0.0547935	0.527397
0	75	0.5	0.5	4159	3916	42.549	40.4706		0	2073.04	0.0450187	0.522509
0	76	0.5	0.5	4173	3959	41.4902	41.8627		0	2081.97	0.0622954	0.531148
0	77	0.5	0.5	4090	3986	41.3725	41.8235		0	2078.47	0.0699762	0.534988
0	78	0.5	0.5	3995	4116	41.5098	41.2549		0	2070.5	0.0460518	0.523026
0	79	0.5	0.5	4196	3927	44.8039	38.8431		0	2085.22	0.028355	0.514177
0	80	0.5	0.5	4225	3879	43.451	39.7843		0	2078.26	0.0264833	0.513242
0	81	0.5	0.5	4101	4036	40.3922	43.2549		0	2089.31	0.0899192	0.54496
0	82	0.5	0.5	4206	3895	45.9804	37.2941		0	2072.05	0.00400457	0.502002
0	83	0.5	0.5	4095	4065	42.4314	40.8431		0	2083.13	0.0966173	0.548309
0	84	0.5	0.5	3979	4114	40.6078	42.7843		0	2085.35	0.0804098	0.540205
0	85	0.5	0.5	4008	4068	41.549	41.4118		0	2074.99	0.0268551	0.513428
0	86	0.5	0.5	4230	3893	43.6471	39.0784		0	2062.74	0.0482061	0.524103
0	87	0.5	0.5	4223	3931	43.6471	40.5882		0	2104.52	0.0395885	0.519794
0	88	0.5	0.5	3996	4161	40.6667	43.1176		0	2094.86	0.0421332	0.521067
0	89	0.5	0.5	4069	4010	41.3137	40.902		0	2058.47	0.0489509	0.524475
0	90	0.5	0.5	4092	4003	40.6667	42.2549		0	2072.61	0.0823239	0.541162
0	91	0.5	0.5	3697	4419	38.7647	45		0	2086.94	0.0736611	0.536831
0	92	0.5	0.5	4143	3953	43.2745	40.2157		0	2083.54	0.0817737	0.540887
0	93	0.5	0.5	4117	3971	43.0392	40.1961		0	2079.95	0.0766595	0.53833
0	94	0.5	0.5	4090	4011	39.9804	43.1961		0	2076.38	0.0553543	0.527677
0	95	0.5	0.5	4115	4020	41.9608	41.451		0	2080.99	0.100542	0.550271
0	96	0.5	0.5	4139	3984	43.5294	40		0	2083.27	0.0510677	0.525534
0	97	0.5	0.5	4019	4074	40.2941	42.2941		0	2066.4	0.0984801	0.54924
0	98	0.5	0.5	4135	4026	43.2157	40.1961		0	2081.17	0.054058	0.527029
0	99	0.5	0.5	4271	3858	43.549	40.0392		0	2084.71	0.0847987	0.542399
1	0	0.5	0.5	4079	4079	45.1569	38.8235		0	2092.74	0.0804531	0.540227
1	1	0.5	0.5	4135	4014	42.4118	40.9412		0	2085.69	0.076648	0.538324
1	2	0.5	0.5	4096	4023	43.2353	39.6471		0	2069.13	0.0556173	0.527809
1	3	0.5	0.5	3872	4281	41.2941	42.1373		0	2087.89	0.048233	0.524117
1	4	0.5	0.5	3903	4170	39.9608	42.8039		0	2066.36	0.0867546	0.543377
1	5	0.5	0.5	3923	4202	37.9608	45.3529		0	2074.04	0.0488695	0.524435
1	6	0.5	0.5	3961	4192	39.4118	44.2549		0	2088.02	0.0827364	0.541368
1	7	0.5	0.5	4014	4114	42.6078	40.4118		0	2075.68	0.0894833	0.544742
1	8	0.5	0.5	3932	4167	42.2745	40.8824		0	2075.65	0.0954925	0.547746
1	9	0.5	0.5	4096	4001	40.4706	42.4118		0	2072.76	0.0477435	0.523872
1	10	0.5	0.5	3953	4215	40.6275	43		0	2087.59	0.0745793	0.53729
1	11	0.5	0.5	3899	4273	37.9804	45.7843		0	2085.81	0.0754718	0.537736
1	12	0.5	0.5	3988	4143	42.1961	41.4706		0	2093.43	0.062622	0.531311
1	13	0.5	0.5	3936	4177	39.8627	43.1373		0	2071.46	0.0985237	0.549262
1	14	0.5	0.5	3990	4178	40.451	43.2157		0	2094.86	0.0339905	0.516995
1	15	0.5	0.5	4007	4138	40.9216	42.3529		0	2080.71	0.0430576	0.521529
1	16	0.5	0.5	4118	4007	41.6275	41.4118		0	2076.98	0.0285455	0.514273
1	17	0.5	0.5	3944	4178	40.6863	42.1765		0	2068.75	0.0546898	0.527345
1	18	0.5	0.5	4040	4087	39.3922	43.4706		0	2065.91	0.103094	0.551547
1	19	0.5	0.5	4084	4018	42.1569	40.8431		0	2077.77	0.0811453	0.540573
1	20	0.5	0.5	4095	4029	39.9804	42.9804		0	2074.2	0.0750946	0.537547
1	21	0.5	0.5	4055	4085	42.2745	41.0784		0	2085.77	0.0451976	0.522599
1	22	0.5	0.5	3956	4170	42.4118	40.7843		0	2080.23	0.0126381	0.506319
1	23	0.5	0.5	3936	4131	40.1176	42.9216		0	2077.04	0.0429764	0.521488
1	24	0.5	0.5	4132	4018	41.8824	41.8235		0	2091.5	0.0469924	0.523496
1	25	0.5	0.5	3921	4246	41.7451	41.3922		0	2078.46	0.0839398	0.54197
1	26	0.5	0.5	3917	4229	40.6471	43.1569		0	2093.33	0.0750224	0.537511
1	27	0.5	0.5	3829	4267	39.0196	44.2353		0	2076.77	0.0271009	0.51355
1	28	0.5	0.5	4147	4056	45.0392	38.7647		0	2088.4	0.0655134	0.532757
1	29	0.5	0.5	4080	4068	40.4118	43.2157		0	2089.17	0.0261867	0.513093
1	30	0.5	0.5	4045	4084	40.8235	42.1765		0	2075.26	0.098247	0.549124
1	31	0.5	0.5	4006	4119	39.5882	43.5686		0	2075.83	0.0258733	0.512937
1	32	0.5	0.5	4268	3807	44.2157	38.9412		0	2074.27	0.0738867	0.536943
1	33	0.5	0.5	4244	3900	42.1569	41.7255		0	2096.46	0.0809607	0.54048
1	34	0.5	0.5	4233	3872	43.4118	39.6078		0	2074.21	0.0314075	0.515704
1	35	0.5	0.5	4037	4098	39.0196	44.8039		0	2096.32	0.104081	0.55204
1	36	0.5	0.5	4107	4087	42.2549	41.5882		0	2096.93	0.0302091	0.515105
1	37	0.5	0.5	3796	4359	38.9804	44.7451		0	2087.76	0.0397055	0.519853
1	38	0.5	0.5	4177	3968	41.6471	41.6078		0	2081.99	0.0386073	0.519304
1	39	0.5	0.5	4181	3932	41.6667	41.5098		0	2080	0.0582947	0.529147
1	40	0.5	0.5	4239	3900	42.3725	40.4706		0	2069.47	0.0194714	0.509736
1	41	0.5	0.5	4157	3983	43.7059	39.4902		0	2075.45	0.085146	0.542573
1	42	0.5	0.5	4163	3973	43.2157	40.3137		0	2087.28	0.0235722	0.511786
1	43	0.5	0.5	4125	4036	42.902	41.0588		0	2100.45	0.0716681	0.535834
1	44	0.5	0.5	4186	3912	42.902	39.5686		0	2064.08	0.0593218	0.529661
1	45	0.5	0.5	3894	4223	42.0196	41.3725		0	2084.96	0.0367457	0.518373
1	46	0.5	0.5	3995	4131	40.3137	42.7451		0	2076.65	0.0910916	0.545546
1	47	0.5	0.5	3995	4123	41.6078	41.5294		0	2079.5	0.0875592	0.54378
1	48	0.5	0.5	3787	4368	39.7059	43.7255		0	2083.13	0.072951	0.536475
1	49	0.5	0.5	4326	3816	45.2549	38		0	2070.47	0.0469046	0.523452
1	50	0.5	0.5	4276	3850	41.7647	41.8431		0	2089.5	0.0916219	0.545811
1	51	0.5	0.5	3941	4188	42.2549	41.4118		0	2090.94	0.0515026	0.525751
1	52	0.5	0.5	3761	4302	38.451	44		0	2054.76	0.026439	0.513219
1	53	0.5	0.5	4031	4028	40.9804	41.3529		0	2057.98	0.0335015	0.516751
1	54	0.5	0.5	4260	3901	43.098	40.7059		0	2095.28	0.077357	0.538678
1	55	0.5	0.5	3999	4125	39.6078	43.4118		0	2072.87	0.0690818	0.534541
1	56	0.5	0.5	4280	3859	41.9412	41.3529		0	2085.48	0.0642657	0.532133
1	57	0.5	0.5	4151	4032	41.9608	41.8039		0	2094.5	0.0602086	0.530104
1	58	0.5	0.5	4189	3950	44.9608	38.3725		0	2076.68	0.00992051	0.50496
1	59	0.5	0.5	4010	4170	41.2549	42.7843		0	2101.18	0.100236	0.550118
1	60	0.5	0.5	4065	4141	40.7255	43.2549		0	2097.87	0.0822989	0.541149
1	61	0.5	0.5	4012	4122	39.3137	43.8824		0	2075.51	0.0535707	0.526785
