0;3.46932;3.96962;5.09787;6.35014;0.0631456;0.531573
0;5.59452;6.79717;7.39485;4.89261;0.0372029;0.518601
0;4.66421;6.02414;4.43703;4.96779;0.056016;0.528008
0;4.54256;4.96078;6.69532;4.43878;0.0843971;0.542199
0;5.89681;6.10858;8.64133;4.35541;0.0631176;0.531559
0;4.63686;4.37588;6.02894;4.64493;0.101255;0.550627
0;6.76095;5.01325;2.43763;4.67864;0.0489575;0.524479
0;5.19025;4.39117;5.18224;3.92765;0.0524247;0.526212
0;4.01658;4.76234;4.87896;5.34655;0.0244064;0.512203
0;3.9439;4.40108;4.71863;6.35521;0.0393134;0.519657
1;5.18224;4.39117;5.89681;6.10858;0.0533125;0.526656
1;4.71863;6.35521;6.76095;4.67864;0.0323184;0.516159
1;4.71863;4.40108;6.02894;4.37588;0.112905;0.556452
1;4.43703;6.02414;5.18224;3.92765;0.0494173;0.524709
1;6.76095;5.01325;4.63686;4.64493;0.0681776;0.534089
1;5.09787;3.96962;4.63686;4.64493;0.0346311;0.517316
1;5.19025;3.92765;4.63686;4.37588;0.119926;0.559963
1;4.63686;4.64493;4.01658;4.76234;0.0811153;0.540558
1;2.43763;4.67864;5.19025;4.39117;0.0446569;0.522328
1;5.19025;4.39117;4.66421;6.02414;0.0247724;0.512386
2;6.76095;5.01325;4.63686;4.64493;0.0329475;0.516474
2;5.19025;4.67864;2.43763;4.39117;0.0672607;0.53363
2;4.43703;3.92765;5.09787;3.96962;0.0710099;0.535505
2;4.63686;4.64493;5.09787;4.64493;0.0300356;0.515018
2;5.19025;3.92765;4.43703;3.92765;0.0572869;0.528643
2;5.18224;3.92765;4.63686;3.92765;0.083377;0.541688
2;6.76095;4.64493;4.01658;4.64493;0.0592786;0.529639
2;5.19025;4.67864;4.63686;4.64493;0.0534446;0.526722
2;5.18224;3.92765;6.76095;4.64493;0.0476704;0.523835
2;6.76095;4.67864;5.09787;4.64493;0.021696;0.510848
3;4.43703;3.92765;5.19025;4.67864;0.120309;0.560154
3;5.18224;3.92765;2.43763;4.39117;0.0425932;0.521297
3;4.63686;3.92765;5.09787;3.96962;0.0550799;0.52754
3;5.09787;3.96962;5.09787;3.96962;0.0409373;0.520469
3;5.19025;3.92765;6.76095;4.64493;0.075445;0.537723
3;5.09787;3.92765;2.43763;4.39117;0.0605318;0.530266
3;4.63686;4.64493;4.43703;3.92765;0.112577;0.556289
3;5.19025;3.92765;5.09787;4.64493;0.0912429;0.545621
3;4.63686;3.92765;5.18224;3.92765;0.0605096;0.530255
3;4.43703;3.92765;5.09787;3.92765;0.0406527;0.520326
4;5.09787;3.92765;4.63686;3.92765;0.0400685;0.520034
4;5.18224;4.39117;5.09787;4.39117;0.0331031;0.516552
4;5.19025;4.64493;4.63686;4.64493;0.0344183;0.517209
4;5.18224;4.39117;5.19025;4.67864;0.037055;0.518527
4;4.43703;4.64493;5.19025;4.64493;0.0278328;0.513916
4;4.43703;4.67864;5.09787;3.92765;0.0462769;0.523138
4;5.19025;3.92765;5.19025;3.92765;0.0447826;0.522391
4;5.18224;3.92765;4.63686;3.92765;0.0397089;0.519854
4;5.09787;3.96962;5.09787;3.92765;0.0827288;0.541364
4;5.19025;4.67864;4.63686;4.64493;0.0870428;0.543521
