Gen;Time;Col;Stim1;Workers1;Stim2;Workers2;Fitness
75;0;0;4.28674;0;4.28674;0;0
75;0;1;4.28674;0;4.28674;0;0
75;0;2;4.28674;0;4.28674;0;0
75;0;3;4.28674;0;4.28674;0;0
75;0;4;4.28674;0;4.28674;0;0
75;0;5;4.28674;0;4.28674;0;0
75;0;6;4.28674;0;4.28674;0;0
75;0;7;4.28674;0;4.28674;0;0
75;0;8;4.28674;0;4.28674;0;0
75;0;9;4.28674;0;4.28674;0;0
75;0;10;4.28674;0;4.28674;0;0
75;0;11;4.28674;0;4.28674;0;0
75;0;12;4.28674;0;4.28674;0;0
75;0;13;4.28674;0;4.28674;0;0
75;0;14;4.28674;0;4.28674;0;0
75;0;15;4.28674;0;4.28674;0;0
75;0;16;4.28674;0;4.28674;0;0
75;0;17;4.28674;0;4.28674;0;0
75;0;18;4.28674;0;4.28674;0;0
75;0;19;4.28674;0;4.28674;0;0
75;0;20;4.28674;0;4.28674;0;0
75;0;21;4.28674;0;4.28674;0;0
75;0;22;4.28674;0;4.28674;0;0
75;0;23;4.28674;0;4.28674;0;0
75;0;24;4.28674;0;4.28674;0;0
75;0;25;4.28674;0;4.28674;0;0
75;0;26;4.28674;0;4.28674;0;0
75;0;27;4.28674;0;4.28674;0;0
75;0;28;4.28674;0;4.28674;0;0
75;0;29;4.28674;0;4.28674;0;0
75;0;30;4.28674;0;4.28674;0;0
75;0;31;4.28674;0;4.28674;0;0
75;0;32;4.28674;0;4.28674;0;0
75;0;33;4.28674;0;4.28674;0;0
75;0;34;4.28674;0;4.28674;0;0
75;0;35;4.28674;0;4.28674;0;0
75;0;36;4.28674;0;4.28674;0;0
75;0;37;4.28674;0;4.28674;0;0
75;0;38;4.28674;0;4.28674;0;0
75;0;39;4.28674;0;4.28674;0;0
75;0;40;4.28674;0;4.28674;0;0
75;0;41;4.28674;0;4.28674;0;0
75;0;42;4.28674;0;4.28674;0;0
75;0;43;4.28674;0;4.28674;0;0
75;0;44;4.28674;0;4.28674;0;0
75;0;45;4.28674;0;4.28674;0;0
75;0;46;4.28674;0;4.28674;0;0
75;0;47;4.28674;0;4.28674;0;0
75;0;48;4.28674;0;4.28674;0;0
75;0;49;4.28674;0;4.28674;0;0
75;0;50;4.28674;0;4.28674;0;0
75;0;51;4.28674;0;4.28674;0;0
75;0;52;4.28674;0;4.28674;0;0
75;0;53;4.28674;0;4.28674;0;0
75;0;54;4.28674;0;4.28674;0;0
75;0;55;4.28674;0;4.28674;0;0
75;0;56;4.28674;0;4.28674;0;0
75;0;57;4.28674;0;4.28674;0;0
75;0;58;4.28674;0;4.28674;0;0
75;0;59;4.28674;0;4.28674;0;0
75;0;60;4.28674;0;4.28674;0;0
75;0;61;4.28674;0;4.28674;0;0
75;0;62;4.28674;0;4.28674;0;0
75;0;63;4.28674;0;4.28674;0;0
75;0;64;4.28674;0;4.28674;0;0
75;0;65;4.28674;0;4.28674;0;0
75;0;66;4.28674;0;4.28674;0;0
75;0;67;4.28674;0;4.28674;0;0
75;0;68;4.28674;0;4.28674;0;0
75;0;69;4.28674;0;4.28674;0;0
75;0;70;4.28674;0;4.28674;0;0
75;0;71;4.28674;0;4.28674;0;0
75;0;72;4.28674;0;4.28674;0;0
75;0;73;4.28674;0;4.28674;0;0
75;0;74;4.28674;0;4.28674;0;0
75;0;75;4.28674;0;4.28674;0;0
75;0;76;4.28674;0;4.28674;0;0
75;0;77;4.28674;0;4.28674;0;0
75;0;78;4.28674;0;4.28674;0;0
75;0;79;4.28674;0;4.28674;0;0
75;0;80;4.28674;0;4.28674;0;0
75;0;81;4.28674;0;4.28674;0;0
75;0;82;4.28674;0;4.28674;0;0
75;0;83;4.28674;0;4.28674;0;0
75;0;84;4.28674;0;4.28674;0;0
75;0;85;4.28674;0;4.28674;0;0
75;0;86;4.28674;0;4.28674;0;0
75;0;87;4.28674;0;4.28674;0;0
75;0;88;4.28674;0;4.28674;0;0
75;0;89;4.28674;0;4.28674;0;0
75;0;90;4.28674;0;4.28674;0;0
75;0;91;4.28674;0;4.28674;0;0
75;0;92;4.28674;0;4.28674;0;0
75;0;93;4.28674;0;4.28674;0;0
75;0;94;4.28674;0;4.28674;0;0
75;0;95;4.28674;0;4.28674;0;0
75;0;96;4.28674;0;4.28674;0;0
75;0;97;4.28674;0;4.28674;0;0
75;0;98;4.28674;0;4.28674;0;0
75;0;99;4.28674;0;4.28674;0;0
75;10;0;23.4878;123;24.4178;120;0
75;10;1;21.9578;123;26.3978;93;0
75;10;2;21.8078;141;25.4078;114;0
75;10;3;23.4878;132;22.7678;126;0
75;10;4;22.4078;126;24.8378;114;0
